timestamp,speed_kmph,fuel_level_percent,engine_temp_c
2026-01-08 22:48:22,110,92,100
2026-01-08 22:48:22,22,67,98
2026-01-08 22:48:22,76,91,109
2026-01-08 22:48:22,89,75,100
2026-01-08 22:48:22,89,46,103
2026-01-08 22:48:22,109,30,99
2026-01-08 22:48:23,64,76,99
2026-01-08 22:48:23,114,7,102
2026-01-08 22:48:23,37,46,106
2026-01-08 22:48:23,35,87,100
2026-01-08 22:48:23,53,44,101
2026-01-08 22:48:23,110,23,103
2026-01-08 22:48:23,116,11,97
2026-01-08 22:48:23,81,33,109
2026-01-08 22:48:23,50,6,102
2026-01-08 22:48:23,82,48,107
2026-01-08 22:48:24,84,10,106
2026-01-08 22:48:24,33,17,109
2026-01-08 22:48:24,51,44,107
2026-01-08 22:48:24,77,67,104
2026-01-08 22:48:24,41,13,103
2026-01-08 22:48:24,98,81,108
2026-01-08 22:48:24,78,6,107
2026-01-08 22:48:25,35,80,99
2026-01-08 22:48:25,81,31,107
2026-01-08 22:48:25,25,17,100
2026-01-08 22:48:25,35,67,105
2026-01-08 22:48:25,114,48,97
2026-01-08 22:48:25,47,24,107
2026-01-08 22:48:26,100,51,108
2026-01-08 22:48:26,56,57,110
2026-01-08 22:48:26,30,42,98
2026-01-08 22:48:26,117,65,96
2026-01-08 22:48:26,35,55,102
