timestamp,speed_kmph,fuel_level_percent,engine_temp_c
2026-01-08 22:48:22,110,92,100
2026-01-08 22:48:22,109,30,99
2026-01-08 22:48:22,109,81,60
2026-01-08 22:48:22,108,5,80
2026-01-08 22:48:23,114,7,102
2026-01-08 22:48:23,110,23,103
2026-01-08 22:48:23,116,11,97
2026-01-08 22:48:23,115,77,85
2026-01-08 22:48:24,104,96,69
2026-01-08 22:48:24,106,11,65
2026-01-08 22:48:24,104,48,91
2026-01-08 22:48:25,102,88,95
2026-01-08 22:48:25,114,48,97
2026-01-08 22:48:26,117,65,96
2026-01-08 22:48:26,108,10,62
