timestamp,speed_kmph,fuel_level_percent,engine_temp_c
2026-01-08 22:48:21,66,89,78
2026-01-08 22:48:21,92,19,87
2026-01-08 22:48:22,45,50,91
2026-01-08 22:48:22,44,56,89
2026-01-08 22:48:22,89,66,77
2026-01-08 22:48:22,110,92,100
2026-01-08 22:48:22,81,37,62
2026-01-08 22:48:22,22,67,98
2026-01-08 22:48:22,76,91,109
2026-01-08 22:48:22,89,75,100
2026-01-08 22:48:22,89,46,103
2026-01-08 22:48:22,109,30,99
2026-01-08 22:48:22,73,31,73
2026-01-08 22:48:22,28,77,80
2026-01-08 22:48:22,58,25,65
2026-01-08 22:48:22,69,75,60
2026-01-08 22:48:22,109,81,60
2026-01-08 22:48:22,34,80,61
2026-01-08 22:48:22,76,9,91
2026-01-08 22:48:22,108,5,80
2026-01-08 22:48:22,78,88,63
2026-01-08 22:48:23,96,64,89
2026-01-08 22:48:23,62,52,79
2026-01-08 22:48:23,81,71,84
2026-01-08 22:48:23,54,78,94
2026-01-08 22:48:23,64,76,99
2026-01-08 22:48:23,114,7,102
2026-01-08 22:48:23,37,46,106
2026-01-08 22:48:23,35,87,100
2026-01-08 22:48:23,53,44,101
2026-01-08 22:48:23,27,42,75
2026-01-08 22:48:23,110,23,103
2026-01-08 22:48:23,54,83,75
2026-01-08 22:48:23,39,70,63
2026-01-08 22:48:23,96,58,88
2026-01-08 22:48:23,116,11,97
2026-01-08 22:48:23,81,33,109
2026-01-08 22:48:23,50,6,102
2026-01-08 22:48:23,115,77,85
2026-01-08 22:48:23,82,48,107
2026-01-08 22:48:23,48,37,66
2026-01-08 22:48:24,94,56,85
2026-01-08 22:48:24,38,57,79
2026-01-08 22:48:24,94,46,68
2026-01-08 22:48:24,44,38,79
2026-01-08 22:48:24,66,21,95
2026-01-08 22:48:24,84,10,106
2026-01-08 22:48:24,104,96,69
2026-01-08 22:48:24,33,17,109
2026-01-08 22:48:24,66,68,60
2026-01-08 22:48:24,51,44,107
2026-01-08 22:48:24,76,79,75
2026-01-08 22:48:24,77,67,104
2026-01-08 22:48:24,106,11,65
2026-01-08 22:48:24,58,96,79
2026-01-08 22:48:24,41,13,103
2026-01-08 22:48:24,98,81,108
2026-01-08 22:48:24,78,6,107
2026-01-08 22:48:24,104,48,91
2026-01-08 22:48:24,34,76,69
2026-01-08 22:48:25,75,64,82
2026-01-08 22:48:25,35,80,99
2026-01-08 22:48:25,28,12,86
2026-01-08 22:48:25,81,31,107
2026-01-08 22:48:25,46,87,66
2026-01-08 22:48:25,25,17,100
2026-01-08 22:48:25,102,88,95
2026-01-08 22:48:25,81,15,61
2026-01-08 22:48:25,35,67,105
2026-01-08 22:48:25,66,100,94
2026-01-08 22:48:25,114,48,97
2026-01-08 22:48:25,47,24,107
2026-01-08 22:48:25,97,60,60
2026-01-08 22:48:25,21,51,86
2026-01-08 22:48:25,68,8,89
2026-01-08 22:48:25,63,51,67
2026-01-08 22:48:25,34,69,67
2026-01-08 22:48:25,53,93,60
2026-01-08 22:48:25,90,50,85
2026-01-08 22:48:26,20,59,90
2026-01-08 22:48:26,100,51,108
2026-01-08 22:48:26,82,47,66
2026-01-08 22:48:26,83,32,82
2026-01-08 22:48:26,75,56,76
2026-01-08 22:48:26,56,57,110
2026-01-08 22:48:26,30,42,98
2026-01-08 22:48:26,43,45,88
2026-01-08 22:48:26,117,65,96
2026-01-08 22:48:26,94,75,77
2026-01-08 22:48:26,59,79,66
2026-01-08 22:48:26,85,56,66
2026-01-08 22:48:26,43,54,64
2026-01-08 22:48:26,23,76,71
2026-01-08 22:48:26,72,95,93
2026-01-08 22:48:26,50,17,82
2026-01-08 22:48:26,35,55,102
2026-01-08 22:48:26,93,45,81
2026-01-08 22:48:26,44,42,75
2026-01-08 22:48:26,108,10,62
2026-01-08 22:48:27,93,31,76
